epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,464.921,0.63834,2.87589,1.00005,0.51163,0.98314,0.74625,0.62187,0.64423,3.18086,1.04354,0.0006337,0.0006337,0.0006337
39,477.039,0.77582,2.59403,1.30353,0.51163,0.98314,0.74625,0.62187,0.64423,3.18086,1.04354,0.0006238,0.0006238,0.0006238
40,489.488,0.76983,2.70631,1.16346,0.51163,0.98314,0.74625,0.62187,0.64423,3.18086,1.04354,0.0006139,0.0006139,0.0006139
41,501.675,0.63137,2.73856,1.13256,0.51163,0.98314,0.74625,0.62187,0.64423,3.18086,1.04354,0.000604,0.000604,0.000604
42,514.286,0.74645,3.02777,1.31757,0.51163,0.98314,0.74625,0.62187,0.64423,3.18086,1.04354,0.0005941,0.0005941,0.0005941
43,526.596,0.85923,2.91554,1.24616,0.51163,0.98314,0.74625,0.62187,0.64423,3.18086,1.04354,0.0005842,0.0005842,0.0005842
44,538.76,1.01613,3.09834,1.24059,0.51163,0.98314,0.74625,0.62187,0.64423,3.18086,1.04354,0.0005743,0.0005743,0.0005743
45,550.877,0.73885,2.94202,1.23746,0.51163,0.98314,0.74625,0.62187,0.64423,3.18086,1.04354,0.0005644,0.0005644,0.0005644
46,562.962,0.70035,2.69773,1.23132,0.51163,0.98314,0.74625,0.62187,0.64423,3.18086,1.04354,0.0005545,0.0005545,0.0005545
47,575.092,0.87444,2.94935,1.46108,0.51163,0.98314,0.74625,0.62187,0.64423,3.18086,1.04354,0.0005446,0.0005446,0.0005446
48,587.463,0.64713,2.7551,1.11941,0.49512,0.96729,0.74625,0.72137,0.36681,2.2266,0.92767,0.0005347,0.0005347,0.0005347
49,599.631,0.7759,2.74846,1.3867,0.49512,0.96729,0.74625,0.72137,0.36681,2.2266,0.92767,0.0005248,0.0005248,0.0005248
50,611.698,0.83437,3.14439,1.27943,0.49512,0.96729,0.74625,0.72137,0.36681,2.2266,0.92767,0.0005149,0.0005149,0.0005149
51,623.859,0.6606,2.41061,1.17837,0.49512,0.96729,0.74625,0.72137,0.36681,2.2266,0.92767,0.000505,0.000505,0.000505
52,636.132,0.65369,2.47717,1.13342,0.49512,0.96729,0.74625,0.72137,0.36681,2.2266,0.92767,0.0004951,0.0004951,0.0004951
53,648.29,0.68606,2.5164,1.19213,0.49512,0.96729,0.74625,0.72137,0.36681,2.2266,0.92767,0.0004852,0.0004852,0.0004852
54,660.406,0.5581,2.51518,1.10891,0.49512,0.96729,0.74625,0.72137,0.36681,2.2266,0.92767,0.0004753,0.0004753,0.0004753
55,672.431,0.81581,3.00671,1.30339,0.49512,0.96729,0.74625,0.72137,0.36681,2.2266,0.92767,0.0004654,0.0004654,0.0004654
56,684.502,0.74879,2.77528,1.29703,0.49512,0.96729,0.74625,0.72137,0.36681,2.2266,0.92767,0.0004555,0.0004555,0.0004555
57,697.326,0.63986,2.6425,1.21426,0.49512,0.96729,0.74625,0.72137,0.36681,2.2266,0.92767,0.0004456,0.0004456,0.0004456
